Category: All categories

Week,Python: (Bulgaria),Java: (Bulgaria),JavaScript: (Bulgaria),c#: (Bulgaria)
2018-12-02,36,78,71,48
2018-12-09,39,83,66,51
2018-12-16,28,66,66,40
2018-12-23,25,37,41,19
2018-12-30,27,56,51,29
2019-01-06,30,64,70,42
2019-01-13,33,71,76,43
2019-01-20,43,87,82,49
2019-01-27,26,78,82,49
2019-02-03,44,77,72,45
2019-02-10,35,73,91,54
2019-02-17,33,74,71,59
2019-02-24,34,71,62,55
2019-03-03,44,69,79,44
2019-03-10,40,70,83,52
2019-03-17,38,75,78,53
2019-03-24,52,68,75,52
2019-03-31,39,88,89,46
2019-04-07,44,75,74,43
2019-04-14,37,82,82,56
2019-04-21,38,70,71,39
2019-04-28,25,49,46,27
2019-05-05,36,57,68,34
2019-05-12,42,66,71,46
2019-05-19,33,73,76,38
2019-05-26,34,71,86,52
2019-06-02,28,78,82,51
2019-06-09,41,78,76,57
2019-06-16,40,83,76,54
2019-06-23,44,85,79,58
2019-06-30,38,73,70,44
2019-07-07,42,73,80,46
2019-07-14,37,67,73,44
2019-07-21,47,61,81,46
2019-07-28,39,64,78,34
2019-08-04,39,64,67,38
2019-08-11,40,69,71,42
2019-08-18,46,71,77,38
2019-08-25,43,65,76,47
2019-09-01,37,70,72,38
2019-09-08,40,63,69,59
2019-09-15,50,67,74,44
2019-09-22,34,62,80,47
2019-09-29,42,73,84,53
2019-10-06,50,78,85,48
2019-10-13,45,92,83,59
2019-10-20,51,90,100,68
2019-10-27,44,71,75,59
2019-11-03,47,66,81,52
2019-11-10,44,74,78,65
2019-11-17,46,61,80,56
2019-11-24,25,50,63,41
