Week,Python,Java,JavaScript,C#,Go
2014-12-14,12,63,52,31,25
2014-12-21,9,50,30,17,27
2014-12-28,11,49,27,23,29
2015-01-04,11,71,51,37,22
2015-01-11,10,75,52,46,20
2015-01-18,10,89,44,53,24
2015-01-25,10,82,48,51,21
2015-02-01,12,79,53,41,23
2015-02-08,14,71,49,42,20
2015-02-15,13,77,54,46,20
2015-02-22,15,62,50,54,24
2015-03-01,11,57,45,39,26
2015-03-08,17,66,59,37,23
2015-03-15,20,80,55,48,26
2015-03-22,15,71,59,39,29
2015-03-29,17,72,58,44,28
2015-04-05,12,76,52,37,24
2015-04-12,13,76,52,30,25
2015-04-19,16,100,58,43,20
2015-04-26,19,75,53,33,23
2015-05-03,14,72,51,32,26
2015-05-10,15,81,52,42,26
2015-05-17,16,69,62,44,23
2015-05-24,11,79,61,46,21
2015-05-31,15,75,63,48,24
2015-06-07,16,64,70,40,23
2015-06-14,12,79,61,44,22
2015-06-21,13,79,59,43,21
2015-06-28,15,75,55,39,24
2015-07-05,15,77,47,41,24
2015-07-12,13,76,56,41,25
2015-07-19,20,75,53,44,20
2015-07-26,13,64,59,46,23
2015-08-02,17,58,57,36,20
2015-08-09,15,68,53,36,24
2015-08-16,13,70,48,41,18
2015-08-23,18,73,58,43,21
2015-08-30,14,69,53,38,26
2015-09-06,15,79,57,42,22
2015-09-13,19,75,54,57,26
2015-09-20,14,59,43,40,23
2015-09-27,13,65,56,42,23
2015-10-04,13,75,51,53,24
2015-10-11,13,81,52,44,24
2015-10-18,16,91,57,41,22
2015-10-25,19,74,50,43,27
2015-11-01,14,74,54,47,25
2015-11-08,12,72,51,41,27
2015-11-15,14,76,58,47,19
2015-11-22,14,64,49,50,24
2015-11-29,13,63,64,53,25
2015-12-06,13,69,49,37,22
2015-12-13,17,63,54,49,23
2015-12-20,14,54,37,26,20
2015-12-27,8,44,22,21,21
2016-01-03,20,63,46,43,24
2016-01-10,21,73,56,46,22
2016-01-17,19,66,61,48,25
2016-01-24,13,70,54,46,23
2016-01-31,17,75,60,42,19
2016-02-07,16,72,56,41,24
2016-02-14,17,63,53,40,22
2016-02-21,16,73,51,48,20
2016-02-28,16,58,41,42,20
2016-03-06,16,74,56,44,26
2016-03-13,17,73,57,43,24
2016-03-20,16,86,59,43,24
2016-03-27,17,84,63,61,28
2016-04-03,19,71,51,57,18
2016-04-10,19,62,63,61,21
2016-04-17,14,79,64,55,25
2016-04-24,18,63,59,53,25
2016-05-01,15,51,46,42,22
2016-05-08,15,68,54,51,24
2016-05-15,19,66,57,58,21
2016-05-22,18,55,50,55,20
2016-05-29,16,78,63,55,21
2016-06-05,16,68,64,44,20
2016-06-12,17,67,65,59,24
2016-06-19,13,74,74,50,18
2016-06-26,17,63,68,52,16
2016-07-03,18,58,68,44,23
2016-07-10,16,56,59,44,21
2016-07-17,20,55,57,32,23
2016-07-24,20,62,59,38,20
2016-07-31,17,56,48,36,17
2016-08-07,14,52,54,36,21
2016-08-14,15,55,59,30,19
2016-08-21,14,51,55,29,21
2016-08-28,16,65,57,36,21
2016-09-04,15,48,52,31,21
2016-09-11,15,70,58,35,19
2016-09-18,14,60,56,39,13
2016-09-25,17,66,58,43,17
2016-10-02,17,65,71,52,22
2016-10-09,17,53,64,54,21
2016-10-16,18,66,70,65,16
2016-10-23,18,68,73,55,22
2016-10-30,19,66,58,50,23
2016-11-06,15,61,66,58,23
2016-11-13,22,63,69,45,22
2016-11-20,21,66,68,49,22
2016-11-27,20,61,62,40,19
2016-12-04,19,54,77,44,22
2016-12-11,17,64,75,47,16
2016-12-18,20,56,70,37,14
2016-12-25,17,48,42,27,19
2017-01-01,21,57,46,34,19
2017-01-08,20,59,61,40,18
2017-01-15,21,62,75,54,21
2017-01-22,18,58,60,52,22
2017-01-29,19,69,57,52,20
2017-02-05,22,67,59,47,20
2017-02-12,21,60,66,46,18
2017-02-19,24,58,67,54,19
2017-02-26,23,65,68,50,18
2017-03-05,23,61,65,57,18
2017-03-12,23,74,68,54,20
2017-03-19,22,65,76,49,17
2017-03-26,25,63,63,42,16
2017-04-02,23,61,62,45,15
2017-04-09,20,59,70,38,22
2017-04-16,23,55,55,43,15
2017-04-23,23,64,67,51,14
2017-04-30,23,66,58,41,16
2017-05-07,23,58,65,44,15
2017-05-14,24,57,63,39,16
2017-05-21,15,49,55,45,14
2017-05-28,21,63,63,48,16
2017-06-04,21,62,56,50,18
2017-06-11,27,57,62,55,17
2017-06-18,24,56,55,45,17
2017-06-25,22,53,64,42,15
2017-07-02,23,64,63,48,13
2017-07-09,24,56,59,40,18
2017-07-16,25,58,63,41,22
2017-07-23,23,63,72,34,11
2017-07-30,19,58,61,37,13
2017-08-06,18,50,51,31,17
2017-08-13,24,50,51,39,17
2017-08-20,23,48,53,37,8
2017-08-27,20,56,61,36,18
2017-09-03,20,48,51,33,14
2017-09-10,18,49,60,41,18
2017-09-17,20,52,51,34,17
2017-09-24,20,69,58,35,15
2017-10-01,22,67,62,47,16
2017-10-08,27,63,64,56,15
2017-10-15,29,71,69,53,16
2017-10-22,18,59,61,53,18
2017-10-29,24,61,64,54,20
2017-11-05,20,68,64,47,19
2017-11-12,20,60,68,39,21
2017-11-19,24,58,69,37,18
2017-11-26,18,65,63,46,14
2017-12-03,27,61,60,43,19
2017-12-10,23,55,61,48,21
2017-12-17,25,51,50,33,19
2017-12-24,17,27,27,10,17
2017-12-31,23,57,48,27,18
2018-01-07,24,67,58,37,17
2018-01-14,27,60,67,32,20
2018-01-21,26,58,62,41,20
2018-01-28,29,62,62,39,20
2018-02-04,29,64,63,48,22
2018-02-11,24,65,63,48,22
2018-02-18,29,60,68,45,18
2018-02-25,30,57,57,43,19
2018-03-04,24,50,52,42,20
2018-03-11,25,61,65,41,16
2018-03-18,25,57,67,39,21
2018-03-25,28,55,62,39,16
2018-04-01,25,56,52,35,20
2018-04-08,24,57,56,37,21
2018-04-15,24,69,65,44,20
2018-04-22,27,65,64,52,21
2018-04-29,21,57,50,36,19
2018-05-06,23,42,55,30,18
2018-05-13,20,56,61,37,19
2018-05-20,21,46,50,39,21
2018-05-27,20,53,57,39,21
2018-06-03,26,44,63,44,20
2018-06-10,18,52,61,38,17
2018-06-17,20,57,56,34,18
2018-06-24,23,54,51,38,15
2018-07-01,23,46,57,42,14
2018-07-08,22,48,60,29,13
2018-07-15,28,45,60,29,19
2018-07-22,18,50,54,25,16
2018-07-29,28,50,55,26,17
2018-08-05,24,52,50,28,17
2018-08-12,20,55,52,26,16
2018-08-19,30,45,51,39,18
2018-08-26,25,47,54,34,18
2018-09-02,18,39,48,31,13
2018-09-09,26,48,54,34,15
2018-09-16,22,50,51,35,16
2018-09-23,18,48,46,31,16
2018-09-30,24,54,61,40,19
2018-10-07,25,61,54,34,18
2018-10-14,31,59,60,41,21
2018-10-21,28,58,58,38,19
2018-10-28,22,56,59,42,19
2018-11-04,29,51,55,43,16
2018-11-11,23,54,54,38,20
2018-11-18,20,51,48,33,13
2018-11-25,24,57,45,32,17
2018-12-02,27,59,47,33,18
2018-12-09,25,52,45,32,14
2018-12-16,24,43,48,32,18
2018-12-23,18,25,32,15,14
2018-12-30,18,34,35,22,13
2019-01-06,23,50,45,27,20
2019-01-13,24,51,52,30,11
2019-01-20,34,59,56,30,16
2019-01-27,16,61,53,32,14
2019-02-03,29,47,53,32,16
2019-02-10,24,54,59,35,18
2019-02-17,25,51,54,33,14
2019-02-24,25,53,45,35,13
2019-03-03,26,53,50,33,17
2019-03-10,29,54,58,35,16
2019-03-17,25,54,46,32,18
2019-03-24,29,48,53,41,15
2019-03-31,29,61,49,30,15
2019-04-07,32,56,56,33,17
2019-04-14,27,58,51,38,13
2019-04-21,30,47,51,34,12
2019-04-28,20,32,32,22,11
2019-05-05,26,43,46,26,12
2019-05-12,27,42,50,32,12
2019-05-19,24,48,49,31,13
2019-05-26,20,55,56,34,11
2019-06-02,25,54,62,31,12
2019-06-09,31,55,52,46,14
2019-06-16,27,55,59,35,12
2019-06-23,33,53,54,39,16
2019-06-30,30,55,52,34,15
2019-07-07,32,48,52,35,12
2019-07-14,28,51,51,23,14
2019-07-21,31,42,53,28,15
2019-07-28,28,41,52,28,11
2019-08-04,27,41,42,30,15
2019-08-11,29,46,50,29,17
2019-08-18,31,42,51,29,12
2019-08-25,31,45,48,31,10
2019-09-01,27,44,48,24,13
2019-09-08,23,44,54,36,9
2019-09-15,34,44,55,30,10
2019-09-22,32,41,53,35,10
2019-09-29,25,48,59,36,13
2019-10-06,32,52,66,39,16
2019-10-13,31,60,54,41,13
2019-10-20,33,55,62,46,11
2019-10-27,32,49,50,38,11
2019-11-03,28,50,52,38,13
2019-11-10,29,51,56,41,14
2019-11-17,31,48,62,37,13
2019-11-24,31,46,56,39,13
2019-12-01,31,44,51,37,13
