Category: All categories

Week,Python: (Germany),Java: (Germany),JavaScript: (Germany),c#: (Germany)
2018-12-02,89,94,61,42
2018-12-09,85,86,59,40
2018-12-16,75,76,53,35
2018-12-23,42,41,28,13
2018-12-30,53,49,38,21
2019-01-06,80,82,54,37
2019-01-13,82,92,61,39
2019-01-20,79,88,60,39
2019-01-27,82,86,59,38
2019-02-03,84,84,62,41
2019-02-10,87,81,64,42
2019-02-17,88,79,63,42
2019-02-24,85,77,61,42
2019-03-03,80,75,59,40
2019-03-10,84,75,58,38
2019-03-17,82,77,63,40
2019-03-24,82,75,59,38
2019-03-31,84,79,60,41
2019-04-07,87,83,59,42
2019-04-14,81,74,53,36
2019-04-21,78,75,51,34
2019-04-28,76,68,50,33
2019-05-05,92,84,58,39
2019-05-12,90,83,62,42
2019-05-19,91,81,58,40
2019-05-26,78,70,52,31
2019-06-02,88,79,59,38
2019-06-09,83,72,52,34
2019-06-16,82,73,56,32
2019-06-23,88,76,60,39
2019-06-30,88,76,58,39
2019-07-07,88,77,63,39
2019-07-14,87,74,59,37
2019-07-21,85,65,58,33
2019-07-28,81,62,56,32
2019-08-04,85,68,55,33
2019-08-11,85,70,59,37
2019-08-18,87,72,59,40
2019-08-25,85,70,57,38
2019-09-01,81,68,59,39
2019-09-08,87,75,60,41
2019-09-15,86,73,59,41
2019-09-22,81,71,59,39
2019-09-29,71,60,48,31
2019-10-06,89,74,61,39
2019-10-13,93,79,66,40
2019-10-20,100,83,65,40
2019-10-27,87,76,56,33
2019-11-03,96,84,60,37
2019-11-10,97,88,62,39
2019-11-17,98,83,62,40
2019-11-24,57,44,29,12
