Category: All categories

Week,Python: (Netherlands),Java: (Netherlands),JavaScript: (Netherlands),c#: (Netherlands)
2018-12-02,93,52,69,44
2018-12-09,85,53,68,41
2018-12-16,75,45,62,41
2018-12-23,42,29,32,14
2018-12-30,51,34,42,23
2019-01-06,73,47,58,37
2019-01-13,80,53,64,38
2019-01-20,77,52,62,39
2019-01-27,74,52,61,35
2019-02-03,86,55,67,40
2019-02-10,89,52,64,40
2019-02-17,91,50,75,38
2019-02-24,82,46,64,40
2019-03-03,85,49,64,36
2019-03-10,86,51,64,37
2019-03-17,80,48,61,40
2019-03-24,89,47,64,36
2019-03-31,82,49,61,42
2019-04-07,84,47,65,37
2019-04-14,73,46,61,33
2019-04-21,71,41,52,30
2019-04-28,79,42,54,33
2019-05-05,78,45,65,38
2019-05-12,81,48,61,39
2019-05-19,78,46,62,36
2019-05-26,63,40,52,28
2019-06-02,79,44,57,35
2019-06-09,77,40,58,33
2019-06-16,84,49,64,36
2019-06-23,71,43,59,35
2019-06-30,69,38,56,35
2019-07-07,70,43,56,35
2019-07-14,72,43,55,32
2019-07-21,68,34,57,28
2019-07-28,68,36,52,29
2019-08-04,71,40,55,29
2019-08-11,74,38,57,31
2019-08-18,72,44,59,33
2019-08-25,69,41,58,34
2019-09-01,82,48,59,35
2019-09-08,100,49,66,38
2019-09-15,91,49,67,37
2019-09-22,92,52,63,38
2019-09-29,93,48,65,37
2019-10-06,100,50,62,39
2019-10-13,94,50,62,38
2019-10-20,86,48,60,39
2019-10-27,88,44,58,36
2019-11-03,87,44,63,36
2019-11-10,89,41,61,36
2019-11-17,96,48,63,36
2019-11-24,46,24,31,11
