Category: All categories

Week,Python: (Russia),Java: (Russia),JavaScript: (Russia),c#: (Russia)
2018-12-02,67,57,69,41
2018-12-09,73,52,62,43
2018-12-16,65,49,61,40
2018-12-23,64,50,59,37
2018-12-30,32,28,30,13
2019-01-06,56,43,49,28
2019-01-13,62,52,62,36
2019-01-20,69,54,61,38
2019-01-27,66,53,64,36
2019-02-03,71,55,65,41
2019-02-10,72,53,65,38
2019-02-17,75,54,65,41
2019-02-24,74,53,65,39
2019-03-03,67,50,58,34
2019-03-10,79,55,72,42
2019-03-17,80,53,70,42
2019-03-24,77,57,70,46
2019-03-31,81,58,69,44
2019-04-07,77,60,68,39
2019-04-14,77,55,68,42
2019-04-21,77,59,73,41
2019-04-28,58,43,48,25
2019-05-05,62,48,60,34
2019-05-12,74,51,70,40
2019-05-19,76,55,73,42
2019-05-26,78,61,77,47
2019-06-02,82,59,78,45
2019-06-09,72,54,67,42
2019-06-16,87,60,79,44
2019-06-23,76,58,79,42
2019-06-30,83,55,79,41
2019-07-07,87,61,80,40
2019-07-14,85,64,78,39
2019-07-21,80,52,67,38
2019-07-28,78,55,74,38
2019-08-04,81,56,78,32
2019-08-11,77,60,75,39
2019-08-18,80,59,85,38
2019-08-25,81,58,79,40
2019-09-01,86,59,78,44
2019-09-08,91,59,72,45
2019-09-15,96,58,76,46
2019-09-22,99,60,78,48
2019-09-29,97,62,76,45
2019-10-06,99,59,74,43
2019-10-13,100,62,77,48
2019-10-20,97,60,69,45
2019-10-27,90,55,75,46
2019-11-03,87,53,64,41
2019-11-10,91,58,71,46
2019-11-17,88,56,68,44
2019-11-24,66,42,44,26
