Category: All categories

Week,Python: (United States),Java: (United States),JavaScript: (United States),c#: (United States)
2018-12-02,86,64,54,22
2018-12-09,78,58,51,22
2018-12-16,68,49,50,21
2018-12-23,45,29,29,12
2018-12-30,55,35,39,16
2019-01-06,74,55,51,23
2019-01-13,79,58,52,23
2019-01-20,82,59,50,22
2019-01-27,88,65,54,23
2019-02-03,91,65,54,24
2019-02-10,94,68,53,23
2019-02-17,91,64,53,23
2019-02-24,93,66,54,23
2019-03-03,91,64,53,25
2019-03-10,87,62,53,22
2019-03-17,86,61,54,24
2019-03-24,85,61,52,23
2019-03-31,88,60,52,25
2019-04-07,90,60,53,24
2019-04-14,90,62,52,24
2019-04-21,91,62,52,23
2019-04-28,83,59,51,23
2019-05-05,83,55,51,24
2019-05-12,81,55,51,23
2019-05-19,79,53,50,23
2019-05-26,76,48,46,20
2019-06-02,86,52,51,24
2019-06-09,87,53,52,24
2019-06-16,88,52,52,25
2019-06-23,90,53,54,25
2019-06-30,72,42,44,18
2019-07-07,88,51,51,24
2019-07-14,88,51,52,23
2019-07-21,88,50,53,21
2019-07-28,83,48,51,21
2019-08-04,83,48,50,21
2019-08-11,82,50,52,23
2019-08-18,83,53,52,24
2019-08-25,83,57,49,23
2019-09-01,80,53,44,19
2019-09-08,97,65,50,22
2019-09-15,97,67,51,21
2019-09-22,100,69,52,23
2019-09-29,99,65,51,22
2019-10-06,99,63,50,23
2019-10-13,97,63,51,23
2019-10-20,95,62,52,22
2019-10-27,93,59,49,22
2019-11-03,97,62,50,22
2019-11-10,92,58,50,21
2019-11-17,93,58,49,22
2019-11-24,54,30,23,7
