Category: All categories

Week,Python: (Worldwide),Java: (Worldwide),JavaScript: (Worldwide),c#: (Worldwide)
2018-12-02,82,91,69,38
2018-12-09,78,87,66,37
2018-12-16,72,78,61,34
2018-12-23,53,59,45,23
2018-12-30,55,59,45,24
2019-01-06,74,81,63,35
2019-01-13,75,83,63,35
2019-01-20,78,86,65,35
2019-01-27,82,88,67,36
2019-02-03,81,86,66,35
2019-02-10,83,88,67,37
2019-02-17,85,90,70,38
2019-02-24,84,86,67,36
2019-03-03,85,86,67,37
2019-03-10,86,89,68,37
2019-03-17,84,85,67,37
2019-03-24,86,86,68,37
2019-03-31,85,86,67,38
2019-04-07,87,88,67,38
2019-04-14,83,82,62,35
2019-04-21,80,84,62,34
2019-04-28,75,75,57,31
2019-05-05,81,82,64,35
2019-05-12,84,85,68,37
2019-05-19,83,84,67,36
2019-05-26,81,79,66,35
2019-06-02,82,78,64,35
2019-06-09,86,81,67,36
2019-06-16,89,82,68,36
2019-06-23,88,78,68,36
2019-06-30,82,79,66,35
2019-07-07,90,83,69,36
2019-07-14,88,81,67,35
2019-07-21,86,79,67,32
2019-07-28,86,76,66,32
2019-08-04,83,75,64,32
2019-08-11,82,74,64,31
2019-08-18,88,83,68,36
2019-08-25,87,84,67,36
2019-09-01,87,84,65,35
2019-09-08,95,85,67,36
2019-09-15,97,90,69,37
2019-09-22,99,90,70,38
2019-09-29,92,83,66,36
2019-10-06,96,85,66,35
2019-10-13,99,88,68,37
2019-10-20,96,85,67,36
2019-10-27,90,79,62,33
2019-11-03,98,86,67,36
2019-11-10,97,84,67,36
2019-11-17,100,85,69,37
2019-11-24,58,49,34,15
